TH,Eskualde-Kodea,Udalherri-Kodea,EREMU,Errolda,Hautesleak,Baliogabeak,Baleko,Zuriak,Hautagaien B.,Abstentzioa,EAJ-PNV,PP,EB-B,PH,EK-PCPE,POSI,UCE,PSE-EE/PSOE,PACMA/ATTKA,PUM+J,PFYV,UPYD,EQUO,IU-LV,EB-AZ,ONGI ETORRI,EH BILDU,PYC,HARTOS.ORG
BIZKAIA,3,027,DURANGO,21692,14798,92,14706,154,14552,6894,5821,1345,221,9,19,22,1,2068,35,26,24,164,116,294,126,,4195,,66
BIZKAIA,3,029,ETXEBARRI,8094,5018,39,4979,82,4897,3076,1641,481,103,15,7,3,6,1329,22,14,9,158,51,216,64,,716,,62
BIZKAIA,3,032,ELORRIO,5812,4112,30,4082,30,4052,1700,1400,265,45,2,3,8,1,422,4,3,6,14,12,67,11,,1764,,25
BIZKAIA,3,034,ERMUA,13112,8281,62,8219,102,8117,4831,1598,1264,169,8,9,19,7,2913,26,19,21,270,67,408,56,,1188,,75
BIZKAIA,3,036,GALDAKAO,23963,15690,139,15551,169,15382,8273,6195,1152,327,9,10,15,8,2666,58,28,14,297,103,514,134,,3779,,73
BIZKAIA,3,039,GARAI,257,220,0,220,1,219,37,119,2,2,0,0,0,0,6,0,0,0,0,0,1,3,,86,,0
BIZKAIA,3,050,IZURTZA,216,180,2,178,0,178,36,66,5,0,0,0,0,0,5,0,0,0,1,0,1,0,,100,,0
BIZKAIA,3,055,LEMOA,2663,1991,27,1964,24,1940,672,799,65,37,1,0,3,3,139,3,4,3,14,7,27,22,,804,,9
BIZKAIA,3,058,MALLABIA,984,685,6,679,6,673,299,253,12,8,0,0,1,0,58,0,0,2,5,4,6,1,,321,,2
BIZKAIA,3,059,MAÑARIA,397,308,0,308,0,308,89,153,3,3,0,0,0,0,7,0,0,0,0,1,0,3,,137,,1
BIZKAIA,3,065,UGAO-MIRABALLES,3299,2328,27,2301,28,2273,971,1028,129,44,0,0,3,0,289,5,4,2,20,13,23,13,,691,,9
BIZKAIA,3,072,OTXANDIO,1006,797,3,794,7,787,209,284,27,3,0,0,1,0,23,0,0,0,2,0,7,0,,440,,0
BIZKAIA,3,074,URDUÑA/ORDUÑA,3360,2407,43,2364,20,2344,953,947,172,51,3,5,1,2,229,7,1,3,15,16,38,12,,832,,10
BIZKAIA,3,075,OROZKO,1936,1397,28,1369,16,1353,539,742,75,9,0,0,1,1,41,3,0,1,7,6,10,16,,437,,4
BIZKAIA,3,088,UBIDE,143,116,1,115,1,114,27,29,5,0,0,0,0,0,4,0,0,0,0,0,3,0,,73,,0
BIZKAIA,3,091,ATXONDO,1162,814,8,806,11,795,348,325,26,12,0,0,0,0,68,2,0,1,4,3,7,1,,344,,2
BIZKAIA,3,092,BEDIA,817,608,5,603,9,594,209,336,23,10,0,0,0,0,42,1,1,2,7,0,5,2,,164,,1
BIZKAIA,3,093,AREATZA,902,713,11,702,5,697,189,315,46,7,0,0,0,2,34,0,1,2,1,1,7,4,,275,,2
BIZKAIA,3,094,IGORRE,3278,2410,22,2388,20,2368,868,1097,48,18,5,1,0,0,112,1,2,3,8,13,16,7,,1035,,2
BIZKAIA,3,095,ZALDIBAR,2369,1459,14,1445,15,1430,910,425,124,18,0,2,3,0,284,1,2,3,18,9,25,8,,500,,8
BIZKAIA,3,097,ZARATAMO,1345,897,7,890,7,883,448,351,45,15,1,2,0,0,133,1,0,1,6,2,19,11,,291,,5
BIZKAIA,3,910,IURRETA,3057,2005,6,1999,10,1989,1052,674,172,38,0,2,2,1,397,3,3,3,15,18,24,10,,623,,4
BIZKAIA,4,004,AMOROTO,326,248,0,248,2,246,78,114,0,0,0,0,0,0,2,0,0,0,0,2,1,0,,127,,0
BIZKAIA,4,007,MUNITIBAR-ARBATZEGI GERRIKAITZ-,357,272,0,272,2,270,85,125,1,1,1,0,0,0,1,0,0,0,0,1,1,1,,138,,0
BIZKAIA,4,010,ARRIETA,436,324,2,322,1,321,112,191,1,5,0,0,0,0,3,0,0,1,0,4,2,1,,112,,1
BIZKAIA,4,012,BAKIO,2040,1639,14,1625,18,1607,401,895,37,14,0,0,0,0,54,0,0,3,8,17,13,8,,552,,6
BIZKAIA,4,014,BARRIKA,1195,832,3,829,9,820,363,377,59,2,0,0,0,0,77,2,1,0,6,10,18,7,,255,,6
BIZKAIA,4,016,BERANGO,5178,3611,25,3586,43,3543,1567,1376,406,50,1,1,3,0,538,10,9,6,66,34,89,38,,905,,11
BIZKAIA,4,017,BERMEO,13438,9228,31,9197,49,9148,4210,4820,159,111,2,3,3,5,495,8,3,8,12,18,72,34,,3373,,22
BIZKAIA,4,018,BERRIATUA,890,626,0,626,4,622,264,258,2,8,1,0,0,0,10,3,0,2,1,1,0,1,,334,,1
BIZKAIA,4,021,BUSTURIA,1425,1026,6,1020,14,1006,399,505,30,11,0,0,1,0,82,2,1,0,2,3,11,5,,351,,2
BIZKAIA,4,028,EA,755,616,1,615,5,610,139,277,4,4,0,1,0,0,4,0,0,0,0,2,1,2,,315,,0
BIZKAIA,4,030,ETXEBARRIA,621,510,0,510,3,507,111,247,3,1,0,0,0,0,9,1,0,1,0,0,2,0,,240,,3
BIZKAIA,4,031,ELANTXOBE,353,296,0,296,1,295,57,158,2,0,1,0,0,0,0,0,0,0,1,1,1,0,,131,,0
BIZKAIA,4,033,EREÑO,212,170,0,170,2,168,42,86,3,1,0,0,0,0,1,0,2,0,0,1,1,1,,71,,1
BIZKAIA,4,035,FRUIZ,407,320,3,317,4,313,87,172,7,3,0,0,0,0,10,0,0,0,4,3,3,2,,109,,0
BIZKAIA,4,038,GAMIZ-FIKA,1088,836,5,831,10,821,252,437,32,5,0,1,0,0,26,1,1,1,1,4,3,8,,301,,0
BIZKAIA,4,040,GATIKA,1269,926,6,920,18,902,343,501,29,8,0,1,0,0,42,4,1,0,1,2,4,3,,305,,1
BIZKAIA,4,041,GAUTEGIZ ARTEAGA,722,585,6,579,2,577,137,321,7,4,0,0,0,0,26,2,0,0,0,6,4,1,,206,,0
BIZKAIA,4,043,GORLIZ,4251,3033,19,3014,45,2969,1218,1516,197,37,0,0,0,1,235,11,6,2,31,32,55,35,,802,,9
BIZKAIA,4,044,GETXO,63687,45264,272,44992,593,44399,18423,16471,10864,481,32,29,50,11,5779,130,79,44,1114,418,731,529,,7449,,188
BIZKAIA,4,046,GERNIKA-LUMO,12666,9404,56,9348,77,9271,3262,3948,342,135,6,3,1,5,761,19,5,9,43,35,100,39,,3794,,26
BIZKAIA,4,047,GIZABURUAGA,161,124,0,124,2,122,37,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,86,,0
BIZKAIA,4,048,IBARRANGELU,559,424,2,422,1,421,135,207,3,1,0,0,0,0,9,0,0,0,1,4,5,0,,189,,2
BIZKAIA,4,049,ISPASTER,560,461,0,461,0,461,99,245,6,0,0,0,0,0,1,1,0,1,3,2,2,0,,200,,0
BIZKAIA,4,052,LARRABETZU,1543,1238,6,1232,8,1224,305,508,33,7,0,0,0,0,24,2,0,0,5,6,13,4,,619,,3
BIZKAIA,4,053,LAUKIZ,870,659,2,657,7,650,211,358,87,4,0,0,2,0,49,0,1,0,2,1,1,4,,140,,1
BIZKAIA,4,054,LEIOA,23788,15718,147,15571,241,15330,8070,6110,1889,268,13,18,28,14,2954,59,62,19,392,137,477,219,,2573,,98
BIZKAIA,4,056,LEMOIZ,904,664,3,661,3,658,240,366,13,10,0,0,0,0,22,1,0,1,1,7,8,3,,226,,0
BIZKAIA,4,057,LEKEITIO,5909,4501,11,4490,32,4458,1408,1850,74,22,1,1,1,1,90,5,1,1,2,7,26,7,,2364,,5
BIZKAIA,4,060,MARKINA-XEMEIN,3699,2596,8,2588,13,2575,1103,1251,42,17,0,1,1,0,61,0,1,3,4,8,22,7,,1149,,8
BIZKAIA,4,061,MARURI-JATABE,768,599,7,592,6,586,169,317,24,8,0,1,0,1,29,2,0,0,4,7,7,5,,179,,2
BIZKAIA,4,062,MENDATA,308,255,1,254,2,252,53,133,2,0,0,0,0,0,0,0,0,0,1,0,1,0,,115,,0
BIZKAIA,4,063,MENDEXA,352,291,0,291,2,289,61,126,1,4,0,0,0,0,7,0,0,0,0,1,2,0,,148,,0
